t sr.HeadDorsalOutput sr.HeadVentralOutput sr.VCDorsalOutput:1 sr.VCVentralAOutput:1 sr.VCVentralPOutput:1 sr.VCDorsalOutput:2 sr.VCVentralAOutput:2 sr.VCVentralPOutput:2 sr.VCDorsalOutput:3 sr.VCVentralAOutput:3 sr.VCVentralPOutput:3 sr.VCDorsalOutput:4 sr.VCVentralAOutput:4 sr.VCVentralPOutput:4 sr.VCDorsalOutput:5 sr.VCVentralAOutput:5 sr.VCVentralPOutput:5 sr.VCDorsalOutput:6 sr.VCVentralAOutput:6 sr.VCVentralPOutput:6 DB:1 DD:1 VBA:1 VBP:1 VDA:1 VDP:1 DB:2 DD:2 VBA:2 VBP:2 VDA:2 VDP:2 DB:3 DD:3 VBA:3 VBP:3 VDA:3 VDP:3 DB:4 DD:4 VBA:4 VBP:4 VDA:4 VDP:4 DB:5 DD:5 VBA:5 VBP:5 VDA:5 VDP:5 DB:6 DD:6 VBA:6 VBP:6 VDA:6 VDP:6 m.DorsalMuscleOutput:1 m.VentralMuscleOutput:1 m.DorsalMuscleOutput:2 m.VentralMuscleOutput:2 m.DorsalMuscleOutput:3 m.VentralMuscleOutput:3 m.DorsalMuscleOutput:4 m.VentralMuscleOutput:4 m.DorsalMuscleOutput:5 m.VentralMuscleOutput:5 m.DorsalMuscleOutput:6 m.VentralMuscleOutput:6 m.DorsalMuscleOutput:7 m.VentralMuscleOutput:7 m.DorsalMuscleOutput:8 m.VentralMuscleOutput:8 m.DorsalMuscleOutput:9 m.VentralMuscleOutput:9 m.DorsalMuscleOutput:10 m.VentralMuscleOutput:10 m.DorsalMuscleOutput:11 m.VentralMuscleOutput:11 m.DorsalMuscleOutput:12 m.VentralMuscleOutput:12 m.DorsalMuscleOutput:13 m.VentralMuscleOutput:13 m.DorsalMuscleOutput:14 m.VentralMuscleOutput:14 m.DorsalMuscleOutput:15 m.VentralMuscleOutput:15 m.DorsalMuscleOutput:16 m.VentralMuscleOutput:16 m.DorsalMuscleOutput:17 m.VentralMuscleOutput:17 m.DorsalMuscleOutput:18 m.VentralMuscleOutput:18 m.DorsalMuscleOutput:19 m.VentralMuscleOutput:19 m.DorsalMuscleOutput:20 m.VentralMuscleOutput:20 m.DorsalMuscleOutput:21 m.VentralMuscleOutput:21 m.DorsalMuscleOutput:22 m.VentralMuscleOutput:22 m.DorsalMuscleOutput:23 m.VentralMuscleOutput:23 m.DorsalMuscleOutput:24 m.VentralMuscleOutput:24
0.41 5.08679 4.97782 3.92322 3.91075 4.68942 8.35441 7.72853 10.1343 13.7698 15.1482 16.4492 15.8091 15.6727 14.4606 12.2031 11.4151 9.7241 6.49053 6.21932 4.5977 0.578217 0.0676454 0.548695 0.643237 0.0840743 0.0647551 0.779669 0.073718 0.806203 0.904246 0.0699431 0.0693886 0.936033 0.0837322 0.956953 0.962097 0.0784939 0.0918704 0.952654 0.0914294 0.949579 0.922621 0.102554 0.0889592 0.88818 0.0836479 0.864004 0.797117 0.0954896 0.0950259 0.725269 0.0824985 0.691547 0.625239 0.0726053 0.077508 0.320371 0.367785 0.313696 0.360123 0.307022 0.35246 0.300348 0.344798 0.293673 0.337136 0.286999 0.329474 0.361146 0.3469 0.352547 0.364174 0.343949 0.380203 0.449414 0.466169 0.437891 0.474872 0.426367 0.482487 0.479525 0.486017 0.466205 0.472251 0.452885 0.4585 0.440658 0.436306 0.427305 0.417651 0.413952 0.399335 0.372826 0.364255 0.360398 0.341555 0.347971 0.319583 0.283765 0.27835 0.273255 0.258876 0.262745 0.240106
0.45 5.12471 4.99005 4.02602 4.34033 5.005 8.41461 7.40033 9.74396 13.6669 15.197 16.7198 16.2177 16.1922 14.9945 12.7049 11.857 10.0802 6.75604 6.37754 4.66538 0.584494 0.0704133 0.56269 0.65041 0.0855236 0.0663249 0.777695 0.0776735 0.793076 0.900951 0.0724511 0.0705826 0.939139 0.0878728 0.963177 0.970244 0.0820733 0.0946455 0.962283 0.0947597 0.961057 0.93621 0.105878 0.0937799 0.904225 0.0865873 0.878994 0.808297 0.0992053 0.0994141 0.735751 0.0830766 0.693637 0.621351 0.0768113 0.0818668 0.321916 0.38237 0.315209 0.374404 0.308503 0.366438 0.301796 0.358472 0.29509 0.350506 0.288383 0.34254 0.359614 0.345053 0.351052 0.362863 0.34249 0.379403 0.447043 0.461836 0.43558 0.473512 0.424117 0.48395 0.483984 0.492399 0.47054 0.479112 0.457096 0.465802 0.447844 0.444683 0.434273 0.425587 0.420702 0.406843 0.379835 0.370459 0.367174 0.346128 0.354513 0.322624 0.285288 0.27642 0.274722 0.255586 0.264156 0.235567
0.49 5.1694 5.02266 4.04258 4.72792 5.29896 8.55687 7.1844 9.44812 13.5712 15.1545 16.873 16.5116 16.6374 15.4666 13.1363 12.2583 10.4108 7.02821 6.53036 4.73075 0.589218 0.0732741 0.578623 0.658644 0.0869138 0.0679351 0.778724 0.0814081 0.780693 0.897144 0.0751721 0.0719637 0.941203 0.0921163 0.967782 0.976301 0.0856246 0.0974511 0.969653 0.0983053 0.969994 0.947739 0.109305 0.0985597 0.918519 0.0895716 0.893044 0.819952 0.10311 0.104021 0.747929 0.0837758 0.69769 0.619995 0.081182 0.0865169 0.321553 0.394539 0.314854 0.38632 0.308155 0.3781 0.301456 0.36988 0.294757 0.361661 0.288058 0.353441 0.359728 0.347085 0.351163 0.364398 0.342598 0.380464 0.445493 0.456502 0.43407 0.471055 0.422647 0.484226 0.48734 0.497512 0.473802 0.484654 0.460265 0.471741 0.4539 0.451795 0.440146 0.432559 0.426391 0.41367 0.386678 0.376695 0.373789 0.351014 0.360899 0.326239 0.287866 0.275619 0.277204 0.253511 0.266542 0.232318
0.53 5.21595 5.0774 3.99916 5.08025 5.57863 8.73936 7.07637 9.24303 13.5182 15.0407 16.9308 16.7134 17.0202 15.8849 13.497 12.6211 10.7164 7.29902 6.67787 4.7939 0.591971 0.0762693 0.59515 0.667591 0.0881827 0.0695417 0.782111 0.0849048 0.770234 0.893387 0.0781357 0.0735694 0.942693 0.0964294 0.971121 0.980771 0.0891591 0.100299 0.975226 0.102039 0.976855 0.957337 0.112828 0.103291 0.930868 0.0926374 0.9059 0.831613 0.107174 0.108794 0.761086 0.0846033 0.703009 0.620338 0.0857322 0.0914679 0.319932 0.404984 0.313267 0.396547 0.306601 0.38811 0.299936 0.379673 0.293271 0.371235 0.286606 0.362798 0.360525 0.351871 0.351942 0.367987 0.343358 0.382909 0.444991 0.450813 0.433581 0.468013 0.422171 0.4837 0.489839 0.501543 0.476232 0.489056 0.462626 0.476486 0.458892 0.457709 0.444986 0.43856 0.43108 0.419741 0.393126 0.382783 0.380021 0.356035 0.366917 0.330251 0.2913 0.27576 0.280511 0.252458 0.269722 0.230163
0.57 5.25842 5.15328 3.91623 5.40341 5.84853 8.92598 7.06442 9.11947 13.5285 14.8737 16.9128 16.8449 17.3487 16.2549 13.789 12.9472 10.9969 7.55959 6.81983 4.85468 0.592812 0.0794289 0.611518 0.677065 0.0892855 0.0711018 0.787008 0.0881809 0.762498 0.890135 0.0813412 0.0754175 0.944011 0.100781 0.973478 0.984061 0.0926935 0.103201 0.97943 0.105934 0.982074 0.965213 0.11644 0.107972 0.941297 0.0958118 0.917454 0.842963 0.111365 0.113685 0.774618 0.085564 0.709104 0.621799 0.0904722 0.096727 0.317513 0.41421 0.310898 0.40558 0.304283 0.396951 0.297669 0.388321 0.291054 0.379692 0.284439 0.371063 0.36136 0.358479 0.352756 0.372991 0.344152 0.386379 0.445531 0.445376 0.434107 0.464858 0.422683 0.482714 0.491722 0.50467 0.478063 0.4925 0.464404 0.480224 0.462934 0.46254 0.448906 0.443636 0.434878 0.425037 0.399022 0.388583 0.385722 0.361035 0.372421 0.334494 0.295373 0.276645 0.284433 0.252221 0.273493 0.228888
0.61 5.29223 5.24834 3.80886 5.703 6.11156 9.09147 7.13403 9.06711 13.6099 14.6713 16.837 16.9275 17.6285 16.5805 14.0172 13.2385 11.2529 7.80206 6.95635 4.91336 0.592005 0.0827719 0.627346 0.686927 0.0901941 0.0725782 0.792605 0.0912823 0.757876 0.887723 0.0847598 0.0775059 0.945466 0.105141 0.975069 0.986484 0.0962483 0.106172 0.982613 0.109966 0.986024 0.971605 0.120137 0.112609 0.949963 0.0991124 0.9277 0.85379 0.115658 0.118652 0.788028 0.086663 0.715636 0.623982 0.095406 0.102297 0.314637 0.422568 0.308082 0.413765 0.301527 0.404961 0.294972 0.396158 0.288417 0.387354 0.281862 0.378551 0.36185 0.366191 0.353235 0.378923 0.344619 0.39061 0.446943 0.440692 0.435483 0.461985 0.424023 0.481562 0.493207 0.507053 0.479507 0.495157 0.465807 0.483136 0.466167 0.46643 0.452041 0.447867 0.437914 0.429581 0.404283 0.393996 0.390807 0.365894 0.377331 0.338824 0.299871 0.278093 0.288765 0.25261 0.277659 0.228296
0.65 5.31465 5.3603 3.68779 5.98391 6.36944 9.22135 7.27027 9.07602 13.7599 14.4508 16.7202 16.981 17.863 16.8643 14.1889 13.4978 11.4855 8.02042 7.08789 4.97059 0.589878 0.0863089 0.64248 0.697055 0.0908939 0.0739414 0.798262 0.0942724 0.75641 0.88637 0.0883417 0.0798158 0.947258 0.109483 0.976062 0.988275 0.0998471 0.10923 0.985048 0.114109 0.989004 0.976748 0.123918 0.117208 0.957087 0.102549 0.936691 0.863963 0.120029 0.12366 0.800927 0.0879069 0.722373 0.626623 0.100531 0.108175 0.311572 0.430285 0.305081 0.42132 0.29859 0.412356 0.292099 0.403392 0.285608 0.394428 0.279117 0.385463 0.361813 0.374489 0.353199 0.385429 0.344584 0.3954 0.448979 0.437122 0.437466 0.459692 0.425954 0.480485 0.494481 0.50883 0.480746 0.497179 0.46701 0.485386 0.468729 0.469527 0.454526 0.451353 0.440322 0.433425 0.408883 0.398964 0.395253 0.370522 0.381624 0.343126 0.304596 0.279946 0.293315 0.253463 0.282033 0.22822
0.69 5.32474 5.48684 3.56055 6.24998 6.62293 9.30973 7.45918 9.13736 13.9687 14.2282 16.5777 17.0229 18.0547 17.1079 14.3127 13.7276 11.6962 8.21092 7.21513 5.02729 0.586751 0.0900432 0.656892 0.707327 0.0913814 0.0751697 0.803544 0.0972218 0.757889 0.886189 0.0920241 0.0823171 0.949475 0.113787 0.97659 0.989605 0.103513 0.112388 0.986939 0.118344 0.991251 0.98086 0.12778 0.121778 0.962905 0.106123 0.944518 0.873412 0.124462 0.128683 0.813036 0.0893031 0.729166 0.629557 0.105837 0.114349 0.308547 0.437476 0.302119 0.428362 0.295691 0.419248 0.289263 0.410134 0.282835 0.40102 0.276407 0.391906 0.361197 0.383021 0.352597 0.392256 0.343997 0.400595 0.451377 0.434876 0.439803 0.458179 0.428229 0.479669 0.49569 0.510117 0.481921 0.498694 0.468152 0.487114 0.470752 0.471969 0.456486 0.454195 0.442221 0.436638 0.41284 0.403459 0.399079 0.374861 0.385317 0.347309 0.309374 0.28208 0.297916 0.25465 0.286458 0.228526
0.73 5.32281 5.6256 3.43258 6.50375 6.87181 9.35644 7.68847 9.24356 14.2222 14.0178 16.4233 17.0677 18.2053 17.3123 14.3979 13.9303 11.8867 8.3719 7.33872 5.08436 0.582907 0.0939726 0.670609 0.717627 0.0916607 0.0762493 0.808199 0.100199 0.761951 0.887199 0.0957393 0.0849724 0.952108 0.118037 0.976764 0.990599 0.107269 0.115663 0.988438 0.122652 0.992948 0.98413 0.131721 0.126328 0.967647 0.109833 0.951288 0.88211 0.128943 0.133702 0.824176 0.09086 0.73592 0.632686 0.111309 0.120804 0.305772 0.444172 0.299402 0.434918 0.293032 0.425665 0.286661 0.416411 0.280291 0.407158 0.273921 0.397904 0.36003 0.391558 0.351458 0.399228 0.342885 0.40607 0.453905 0.434029 0.442266 0.457549 0.430627 0.479245 0.496933 0.511013 0.483129 0.499809 0.469326 0.488434 0.472346 0.47388 0.458033 0.456494 0.443719 0.439296 0.416202 0.407479 0.402329 0.378877 0.388455 0.351311 0.314064 0.284396 0.302432 0.256069 0.2908 0.229111
0.77 5.30996 5.77435 3.30811 6.74626 7.11504 9.36458 7.94807 9.38853 14.5049 13.8316 16.269 17.1266 18.3164 17.478 14.4536 14.1081 12.0587 8.50355 7.45911 5.14261 0.578596 0.0980902 0.683675 0.727845 0.091742 0.0771736 0.812116 0.103264 0.768166 0.889352 0.0994211 0.0877417 0.955076 0.122223 0.976681 0.991348 0.11113 0.119066 0.989656 0.127016 0.994231 0.986723 0.135742 0.130867 0.971515 0.113672 0.957116 0.890061 0.133464 0.138704 0.83426 0.092586 0.742577 0.635956 0.116927 0.127515 0.303448 0.450332 0.297126 0.44095 0.290804 0.431568 0.284482 0.422186 0.27816 0.412804 0.271838 0.403422 0.358385 0.399957 0.349852 0.406223 0.341319 0.411719 0.456379 0.43455 0.444677 0.457828 0.432975 0.479294 0.498264 0.5116 0.484424 0.500613 0.470583 0.489441 0.473608 0.475368 0.459257 0.458341 0.444905 0.441477 0.419032 0.41104 0.405065 0.382554 0.391097 0.355088 0.318555 0.286821 0.306757 0.257646 0.294959 0.229898
